date,rendement_predit,vol_empirique,prediction,alpha(expo_crypto),rendement_observe,valeur_portefeuille,valeur_crypto
2022-12-02,0%,4%,neutral,100%,0.0067955166200655,29.63071934965358,17092.74
2022-12-05,-2%,4%,bear,50%,-0.007394367433191107,14.705809461736239,16966.35
2022-12-06,0%,4%,neutral,100%,0.007226657471996134,14.812083309564645,17088.96
2022-12-07,0%,4%,neutral,100%,-0.014765088103664614,14.593381594500103,16836.64
2022-12-08,0%,4%,neutral,100%,0.023012905187733468,14.929217701502747,17224.1
2022-12-09,0%,4%,neutral,100%,-0.005546879082216072,14.846407136120433,17128.56
2022-12-12,0%,4%,neutral,100%,0.004744707085709399,14.916848989256511,17209.83
2022-12-13,0%,4%,neutral,100%,0.03282252061757718,15.40645757275567,17774.7
2022-12-14,0%,4%,neutral,100%,0.0016005896020749866,15.43111698855143,17803.15
2022-12-15,0%,4%,neutral,100%,-0.025097244027040277,15.043838479879948,17356.34
2022-12-16,0%,4%,neutral,100%,-0.041726539120575,14.416111165025626,16632.12
2022-12-19,2%,4%,bull,100%,-0.011618482791129314,6997.011510746208,16438.88
2022-12-20,0%,4%,neutral,100%,0.027780481395326184,7191.391858843376,16895.56
2022-12-21,0%,4%,neutral,100%,-0.004195776878659463,7161.218383156662,16824.67
2022-12-22,0%,4%,neutral,100%,-0.0001925743565845961,7159.839316134164,16821.43
2022-12-23,0%,4%,neutral,100%,-0.0025521016940890373,7141.566678086052,16778.5
2022-12-26,0%,4%,neutral,100%,0.008397055755878124,7201.534811666262,16919.39
2022-12-27,0%,4%,neutral,100%,-0.012590879458420079,7110.861154936955,16706.36
2022-12-28,0%,4%,neutral,100%,-0.00952032639066791,7043.163435823233,16547.31
2022-12-29,-2%,4%,bear,50%,0.00520688861210683,3539.918201655214,16633.47
2022-12-30,2%,4%,bull,100%,-0.0015625122118235746,7178.318643035517,16607.48
2023-01-02,-2%,4%,bear,50%,0.003937382432494196,3603.2912143777257,16672.87
2023-01-03,0%,4%,neutral,100%,0.0001385484322735664,3603.7904447265028,16675.18
2023-01-04,0%,4%,neutral,100%,0.01050543382440261,3641.649826760591,16850.36
2023-01-05,0%,4%,neutral,100%,-0.0010984928511914571,3637.649500459352,16831.85
2023-01-06,0%,4%,neutral,100%,0.007058047689350921,3663.3242041107383,16950.65
2023-01-09,0%,4%,neutral,100%,0.013427803653547121,3712.514602242824,17178.26
2023-01-10,0%,4%,neutral,100%,0.015275120995956515,3769.2237119913384,17440.66
2023-01-11,0%,4%,neutral,100%,0.02881771676071887,3877.8441333312903,17943.26
2023-01-12,2%,4%,bull,100%,0.05034536644957499,7780.820547746585,18846.62
2023-01-13,0%,4%,neutral,100%,0.05748457813655716,8228.097734490053,19930.01
2023-01-16,0%,4%,neutral,100%,0.06300247716885266,8746.48827415035,21185.65
2023-01-17,0%,4%,neutral,100%,-0.0023997375582056613,8725.498997736466,21134.81
2023-01-18,-2%,4%,bear,50%,-0.02163918199406567,4268.343168467704,20677.47
2023-01-19,0%,4%,neutral,100%,0.019060358931726196,4349.69932130248,21071.59
2023-01-20,0%,4%,neutral,100%,0.07572375886205074,4679.074903831214,22667.21
2023-01-23,0%,4%,neutral,100%,0.010995618781491023,4730.524227723785,22916.45
2023-01-24,0%,4%,neutral,100%,-0.012373644259909389,4671.990403767048,22632.89
2023-01-25,-2%,4%,bear,50%,0.01891274158978362,2380.1752754917215,23060.94
2023-01-26,-2%,4%,bear,50%,-0.002224107083232396,1187.440755401083,23009.65
2023-01-27,0%,4%,neutral,100%,0.0028036063130034705,1190.7698717992428,23074.16
2023-01-30,0%,4%,neutral,100%,-0.010748386940196197,1177.9710164604166,22826.15
2023-01-31,0%,4%,neutral,100%,0.01309813525276926,1193.4002401578573,23125.13
2023-02-01,0%,4%,neutral,100%,0.026271419879585478,1224.7525589514426,23732.66
2023-02-02,-2%,4%,bear,50%,-0.010269392474337113,606.0875471198108,23488.94
2023-02-03,0%,4%,neutral,100%,-0.002428376929737852,604.6157381029836,23431.9
2023-02-06,0%,4%,neutral,100%,-0.028567038951173407,587.3436567621031,22762.52
2023-02-07,-2%,4%,bear,50%,0.020996796488262248,299.8379959959044,23240.46
2023-02-08,0%,4%,neutral,100%,-0.011938662143520351,296.2583314639191,22963.0
2023-02-09,0%,4%,neutral,100%,-0.05080564386186481,281.20673618445295,21796.35
2023-02-10,0%,4%,neutral,100%,-0.007852690932197315,278.99850659714446,21625.19
2023-02-13,0%,4%,neutral,100%,0.0068799395519763,280.9179994576245,21773.97
2023-02-14,0%,4%,neutral,100%,0.01955867487646934,286.4123832759644,22199.84
2023-02-15,0%,4%,neutral,100%,0.09568582476270104,313.8179883919758,24324.05
2023-02-16,0%,4%,neutral,100%,-0.033149496074872276,303.4150802175517,23517.72
2023-02-17,-2%,4%,bear,50%,0.04474285772600406,158.49536899182485,24569.97
2023-02-20,0%,4%,neutral,100%,0.011079785608203885,160.25146370014744,24842.2
2023-02-21,-2%,4%,bear,50%,-0.01570070283630276,78.86770154475442,24452.16
2023-02-22,-2%,4%,bear,50%,-0.011039924489288477,38.9985040375283,24182.21
2023-02-23,0%,4%,neutral,100%,-0.01000777017485166,38.60821597195769,23940.2
2023-02-24,-2%,4%,bear,50%,-0.031533153440656325,18.695388586821977,23185.29
2023-02-27,0%,4%,neutral,100%,0.0132325280382517,18.94277584048311,23492.09
2023-02-28,0%,4%,neutral,100%,-0.014920766947512987,18.660135096828284,23141.57
2023-03-01,0%,4%,neutral,100%,0.021061665219775483,19.053148615193464,23628.97
2023-03-02,-2%,4%,bear,50%,-0.00692582029601807,9.460594965905655,23465.32
2023-03-03,0%,4%,neutral,100%,-0.04734561471993559,9.012677281628523,22354.34
2023-03-06,-2%,4%,bear,50%,0.00248989681645706,4.517558959049903,22410.0
2023-03-07,-2%,4%,bear,50%,-0.009461847389558242,2.2374072528030204,22197.96
2023-03-08,0%,4%,neutral,100%,-0.022187624448372745,2.1877645009397617,21705.44
2023-03-09,0%,4%,neutral,100%,-0.06188402538718396,2.052376827022426,20362.22
2023-03-10,-2%,4%,bear,50%,-0.010388356475865668,1.0155280024602553,20150.69
2023-03-13,0%,4%,neutral,100%,0.19665778194195838,1.2152394869240366,24113.48
2023-03-14,0%,4%,neutral,100%,0.023096210086640312,1.2433069134196153,24670.41
2023-03-15,0%,4%,neutral,100%,-0.01559560623435119,1.2239167883694764,24285.66
2023-03-16,0%,4%,neutral,100%,0.02936383034267953,1.259855673296715,24998.78
2023-03-17,0%,4%,neutral,100%,0.09585867790348179,1.380623772488139,27395.13
2023-03-20,0%,4%,neutral,100%,0.011749533584983762,1.3968454578712153,27717.01
2023-03-21,0%,4%,neutral,100%,0.014015220256441863,1.416422554627491,28105.47
2023-03-22,0%,4%,neutral,100%,-0.030403334297558482,1.3733585861925495,27250.97
2023-03-23,0%,4%,neutral,100%,0.038326709104299805,1.4259949012214437,28295.41
2023-03-24,0%,4%,neutral,100%,-0.029720014659621374,1.383614311852597,27454.47
