date,rendement_predit,vol_empirique,prediction,alpha(expo_crypto),rendement_observe,valeur_portefeuille,valeur_crypto
2022-12-01,-2%,4%,bear,50%,-0.01394403844073977,6.981303490113542,1276.41
2022-12-02,-2%,4%,bear,50%,0.015026519691948348,3.5431040922416006,1295.59
2022-12-05,-2%,4%,bear,50%,-0.027925501123040375,1.7220805674673294,1259.41
2022-12-06,2%,4%,bull,100%,0.009456809140788058,7177.769397081155,1271.32
2022-12-07,0%,4%,neutral,100%,-0.03157348267941973,6951.142219345544,1231.18
2022-12-08,2%,4%,bull,100%,0.039799217011322385,7227.792237009843,1280.18
2022-12-09,-2%,4%,bear,50%,-0.013341873798997095,3565.679972569143,1263.1
2022-12-12,-2%,4%,bear,50%,0.009737946322539992,1800.2011863726887,1275.4
2022-12-13,-2%,4%,bear,50%,0.03551042810098792,932.0635505843445,1320.69
2022-12-14,-2%,4%,bear,50%,-0.01003263445623126,461.35624884567744,1307.44
2022-12-15,-2%,4%,bear,50%,-0.031282506271798405,223.46193454881455,1266.54
2022-12-16,0%,4%,neutral,100%,-0.07872629368199979,205.86960466277677,1166.83
2022-12-19,-2%,4%,bear,50%,0.0008484526452010588,103.0221376367097,1167.82
2022-12-20,-2%,4%,bear,50%,0.0420612765665942,53.67769013016455,1216.94
2022-12-21,0%,4%,neutral,100%,-0.002596676910940676,53.53830651157092,1213.78
2022-12-22,0%,4%,neutral,100%,0.00323781904463738,53.71165386001172,1217.71
2022-12-23,0%,4%,neutral,100%,0.001872366983928897,53.812221787351426,1219.99
2022-12-26,2%,4%,bull,100%,0.006655792260592319,210.8702125235232,1228.11
2022-12-27,-2%,4%,bear,50%,-0.013484134157363714,104.0134051440321,1211.55
2022-12-28,0%,4%,neutral,100%,-0.017663323841360157,102.17618268513047,1190.15
2022-12-29,-2%,4%,bear,50%,0.008687980506658866,103.06388736854369,1200.49
2022-12-30,2%,4%,bull,100%,-0.00041649659722275967,103.02096161015814,1199.99
2023-01-02,-2%,4%,bear,50%,0.01167509729247751,52.11187068006066,1214.0
2023-01-03,-2%,4%,bear,50%,0.0004530477759472351,26.067739923586355,1214.55
2023-01-04,-2%,4%,bear,50%,0.03486888147873701,13.488346428700217,1256.9
2023-01-05,-2%,4%,bear,50%,-0.004503142652557912,6.7138032402923296,1251.24
2023-01-06,-2%,4%,bear,50%,0.014305808637831374,3.4049248123400018,1269.14
2023-01-09,-2%,4%,bear,50%,0.04038167578044982,1.7712106910843621,1320.39
2023-01-10,-2%,4%,bear,50%,0.01153447087602899,0.8958203346079928,1335.62
2023-01-11,0%,4%,neutral,100%,0.040258456746679494,0.9318846788016047,1389.39
2023-01-12,2%,4%,bull,100%,0.019094710628405176,0.9496787470823658,1415.92
2023-01-13,-2%,4%,bear,50%,0.024916661958302777,0.4866707856962008,1451.2
2023-01-16,0%,4%,neutral,100%,0.08664553472987868,0.5288386361602583,1576.94
2023-01-17,-2%,4%,bear,50%,-0.00721016652504225,0.2625128107643333,1565.57
2023-01-18,-2%,4%,bear,50%,-0.034581653966286985,0.25343468358076376,1511.43
2023-01-19,-2%,4%,bear,50%,0.026240050812806226,0.13004241127782526,1551.09
2023-01-20,-2%,4%,bear,50%,0.06926097131694497,0.06952463749766252,1658.52
2023-01-23,-2%,4%,bear,50%,-0.019432988447531496,0.034086783010175814,1626.29
2023-01-24,0%,4%,neutral,100%,-0.04323952062670244,0.03261288685310939,1555.97
2023-01-25,-2%,4%,bear,50%,0.03597113054878953,0.03378600926367549,1611.94
2023-01-26,-2%,4%,bear,50%,-0.006731019765003787,0.016779297483770543,1601.09
2023-01-27,-2%,4%,bear,50%,-0.002167273544897541,0.008371466078116,1597.62
2023-01-30,0%,4%,neutral,100%,-0.019666754297016698,0.008206826511651884,1566.2
2023-01-31,0%,4%,neutral,100%,0.01221427659302754,0.008307066960616193,1585.33
2023-02-01,0%,4%,neutral,100%,0.035544650009777135,0.00860233874833908,1641.68
2023-02-02,-2%,4%,bear,50%,0.0008771502363431605,0.004304942145902644,1643.12
2023-02-03,2%,4%,bull,100%,0.012415404839573485,8443.063398004018,1663.52
2023-02-06,2%,4%,bull,100%,-0.02959387323266327,8193.200450108148,1614.29
2023-02-07,-2%,4%,bear,50%,0.035148579251559564,8481.179805452688,1671.03
2023-02-08,2%,4%,bull,100%,-0.012327726013297124,8676.464140537462,1650.43
2023-02-09,-2%,4%,bear,50%,-0.06366825615142735,4062.0243995745245,1545.35
2023-02-10,-2%,4%,bear,50%,-0.02089494289319571,1988.5743158573237,1513.06
2023-02-13,-2%,4%,bear,50%,-0.005168334368762628,989.1483494379198,1505.24
2023-02-14,0%,4%,neutral,100%,0.033529536818049044,1022.314035438911,1555.71
2023-02-15,0%,4%,neutral,100%,0.07662739199465207,1100.651293774123,1674.92
2023-02-16,-2%,4%,bear,50%,-0.02213837078785863,538.1423336622075,1637.84
2023-02-17,-2%,4%,bear,50%,0.034209690812289306,556.5520165097955,1693.87
2023-02-20,-2%,4%,bear,50%,0.00554942232875022,279.82027934866295,1703.27
2023-02-21,-2%,4%,bear,50%,-0.02554498112454273,136.33613779721853,1659.76
2023-02-22,-2%,4%,bear,50%,-0.010013495927121974,67.48546821833328,1643.14
2023-02-23,0%,4%,neutral,100%,0.004497486519712268,67.7889832019217,1650.53
2023-02-24,-2%,4%,bear,50%,-0.025888653947519935,33.017008837176455,1607.8
2023-02-27,2%,4%,bull,100%,0.01595347680059711,8423.149000815982,1633.45
2023-02-28,2%,4%,bull,100%,-0.01727631699776544,8277.628008558473,1605.23
2023-03-01,2%,4%,bull,100%,0.03737159160992509,8586.976141993198,1665.22
2023-03-02,-2%,4%,bear,50%,-0.010425048942482196,4248.728247722496,1647.86
2023-03-03,-2%,4%,bear,50%,-0.04758292573398215,2023.2806635236223,1569.45
2023-03-06,-2%,4%,bear,50%,-0.0023001688489598937,1009.3133881843411,1565.84
2023-03-07,-2%,4%,bear,50%,-0.002477903234046841,1006.8124072755924,1561.96
2023-03-08,-2%,4%,bear,50%,-0.01893774488463207,493.8728253799624,1532.38
2023-03-09,-2%,4%,bear,50%,-0.06203422127670688,231.6179046238947,1437.32
2023-03-10,-2%,4%,bear,50%,-0.007569643503186452,114.9323198284684,1426.44
2023-03-13,-2%,4%,bear,50%,0.17316536272118,67.4173083399759,1673.45
2023-03-14,-2%,4%,bear,50%,0.015506886970031886,34.23137046011385,1699.4
2023-03-15,0%,4%,neutral,100%,-0.029092620925032397,33.2354901755734,1649.96
2023-03-16,-2%,4%,bear,50%,0.01440640985235997,16.8571471343434,1673.73
2023-03-17,2%,4%,bull,100%,0.0690314447372038,8275.503084732612,1789.27
2023-03-20,-2%,4%,bear,50%,-0.031571534759985975,4007.116375718303,1732.78
2023-03-21,2%,4%,bull,100%,0.039502995186925016,8172.525850340055,1801.23
2023-03-22,-2%,4%,bear,50%,-0.03714128678736206,3934.4938619777226,1734.33
2023-03-23,2%,4%,bull,100%,0.04581596351328754,8049.250351179071,1813.79
2023-03-24,0%,4%,neutral,100%,-0.03540652445983272,7764.2543717367325,1749.57
