date,rendement_predit,vol_empirique,prediction,alpha(expo_crypto),rendement_observe,valeur_portefeuille,valeur_crypto
2022-12-16,0%,4%,neutral,100%,-0.07872629368199979,0.08204333558666546,1166.83
2022-12-19,-2%,4%,bear,50%,0.0008484526452010588,0.041056472735882546,1167.82
2022-12-20,-2%,4%,bear,50%,0.0420612765665942,0.02139168019523767,1216.94
2022-12-21,0%,4%,neutral,100%,-0.002596676910940676,0.02133613291318847,1213.78
2022-12-22,0%,4%,neutral,100%,0.00323781904463738,0.02140521545067371,1217.71
2022-12-23,0%,4%,neutral,100%,0.001872366983928897,0.021445293869367433,1219.99
2022-12-26,2%,4%,bull,100%,0.006655792260592319,2128.3180610676036,1228.11
2022-12-27,-2%,4%,bear,50%,-0.013484134157363714,1049.8097674013138,1211.55
2022-12-28,0%,4%,neutral,100%,-0.017663323841360157,1031.2666375078816,1190.15
2022-12-29,-2%,4%,bear,50%,0.008687980506658866,1040.2262619517176,1200.49
2022-12-30,2%,4%,bull,100%,-0.00041649659722275967,1039.7930112532729,1199.99
2023-01-02,-2%,4%,bear,50%,0.01167509729247751,525.9663479118465,1214.0
2023-01-03,-2%,4%,bear,50%,0.0004530477759472351,263.1023178979955,1214.55
2023-01-04,-2%,4%,bear,50%,0.03486888147873701,136.13820071878087,1256.9
2023-01-05,-2%,4%,bear,50%,-0.004503142652557912,67.7625754902408,1251.24
2023-01-06,-2%,4%,bear,50%,0.014305808637831374,34.3659869640054,1269.14
2023-01-09,-2%,4%,bear,50%,0.04038167578044982,17.876871553730513,1320.39
2023-01-10,-2%,4%,bear,50%,0.01153447087602899,9.041535904010763,1335.62
2023-01-11,0%,4%,neutral,100%,0.040258456746679494,9.405534186125932,1389.39
2023-01-12,2%,4%,bull,100%,0.019094710628405176,9.585130139715579,1415.92
2023-01-13,-2%,4%,bear,50%,0.024916661958302777,4.911979793616606,1451.2
2023-01-16,0%,4%,neutral,100%,0.08664553472987868,5.337580909416876,1576.94
